tenant_id,unit_id,full_name,email,phone,lease_start,lease_end,monthly_rent,deposit,status,lease_duration_days,days_to_expiry,lease_expired,expiry_bucket,lease_term_type,market_rent,unit_type,sqft,loss_to_lease,loss_to_lease_pct,concession_flag,total_charges,paid_on_time,partial_count,delinquent_count,total_due,total_paid,collection_rate,payment_reliability,delinquency_risk_score,risk_tier
T00001,U00001,Allison Hill,donaldgarcia@example.net,+1-219-560-0133,2022-02-11,2023-02-11,1263.0,1263.0,Active,365,-1150,1,Expired,Standard (6-12mo),1358.0,Studio,478,95.0,7.0,1,,,,,,,,,,
T00002,U00003,Meredith Barnes,zlawrence@example.org,001-626-254-2351x16155,2022-01-08,2023-07-10,1504.0,1504.0,Active,548,-1001,1,Expired,Long-Term (>12mo),1527.0,Studio,472,23.0,1.51,0,,,,,,,,,,
T00003,U00006,Kimberly Dudley,smiller@example.net,+1-659-931-0341x316,2024-03-14,2025-03-14,1250.0,1250.0,Active,365,-388,1,Expired,Standard (6-12mo),1416.0,Studio,557,166.0,11.72,1,12.0,11.0,1.0,0.0,15000.0,14719.0,98.13,91.67,15.0,Medium Risk
T00004,U00007,Holly Wood,elizabethmiles@example.net,+1-219-528-3276x4835,2021-02-17,2023-02-17,1511.0,1511.0,Active,730,-1144,1,Expired,Long-Term (>12mo),1578.0,Studio,451,67.0,4.25,0,,,,,,,,,,
T00005,U00008,Renee Morales,clarksherri@example.net,837-767-2423x88496,2022-04-14,2023-04-14,1429.0,1429.0,Active,365,-1088,1,Expired,Standard (6-12mo),1433.0,Studio,537,4.0,0.28,0,,,,,,,,,,
T00006,U00009,Zachary Hicks,camposmichelle@example.org,+1-326-691-6697x8480,2022-02-11,2023-02-11,1329.0,1329.0,Active,365,-1150,1,Expired,Standard (6-12mo),1378.0,Studio,476,49.0,3.56,0,,,,,,,,,,
T00007,U00010,Gina Carter,shawnmckay@example.net,282-781-4893x252,2021-12-12,2022-12-12,1421.0,1421.0,Notice to Vacate,365,-1211,1,Expired,Standard (6-12mo),1531.0,Studio,538,110.0,7.18,1,,,,,,,,,,
T00008,U00011,Brian Cox DVM,john39@example.org,671-882-2782,2023-05-29,2025-05-28,1264.0,1264.0,Active,730,-313,1,Expired,Long-Term (>12mo),1387.0,Studio,587,123.0,8.87,1,15.0,14.0,1.0,0.0,18960.0,18914.0,99.76,93.33,14.0,Medium Risk
T00009,U00013,Tanya Campos,jenniferross@example.net,+1-557-587-1331x5098,2021-07-02,2022-07-02,1371.0,1371.0,Active,365,-1374,1,Expired,Standard (6-12mo),1523.0,Studio,542,152.0,9.98,1,,,,,,,,,,
T00010,U00014,Michael Brown,whiteheadmichele@example.org,334.373.8299x73763,2024-03-07,2025-03-07,1365.0,1365.0,Active,365,-395,1,Expired,Standard (6-12mo),1548.0,Studio,461,183.0,11.82,1,12.0,11.0,1.0,0.0,16380.0,16363.0,99.9,91.67,15.0,Medium Risk
T00011,U00015,Heather Jenkins,nuneztracey@example.org,4658133387,2023-12-13,2025-06-13,1566.0,1566.0,Active,548,-297,1,Expired,Long-Term (>12mo),1610.0,Studio,509,44.0,2.73,0,15.0,13.0,0.0,2.0,23490.0,20358.0,86.67,86.67,68.0,Critical
