property,city,tenant,unit_number,unit_type,monthly_rent,lease_end,days_to_expiry,expiry_bucket,tenant_status
Fieldside Grande Ph1,Pikesville,James Henry,098,1BR/1BA,1569.0,2022-01-01,-1557,Expired,Active
Cedar Ridge Commons,Ellicott City,Dr. Diana Jones,270,2BR/2BA,1888.0,2022-01-02,-1556,Expired,Active
Fieldside Grande Ph1,Pikesville,Gregory Wallace,020,Studio,1297.0,2022-01-04,-1554,Expired,Active
Avenue Grand,Baltimore,Anthony Murray,078,1BR/1BA,1701.0,2022-01-06,-1552,Expired,Active
Cedar Ridge Commons,Ellicott City,Todd Bentley,213,2BR/2BA,1941.0,2022-01-07,-1551,Expired,Active
Mills Crossing,Owings Mills,Ronald Brown,178,2BR/2BA,2096.0,2022-01-08,-1550,Expired,Active
Mills Crossing,Owings Mills,Miss Sarah Duncan,081,2BR/1BA,2112.0,2022-01-09,-1549,Expired,Active
Riverfront Flats,Frederick,Kyle Shannon,228,2BR/2BA,2380.0,2022-01-12,-1546,Expired,Active
Riverfront Flats,Frederick,Amy Wolfe,253,3BR/2BA,2812.0,2022-01-12,-1546,Expired,Active
Mills Crossing,Owings Mills,Melissa Rodriguez,182,2BR/2BA,1851.0,2022-01-14,-1544,Expired,Active
Duvall Westside,Laurel,Mary Duran,153,2BR/2BA,2144.0,2022-01-17,-1541,Expired,Active
Riverfront Flats,Frederick,Robin Pugh,131,2BR/1BA,1640.0,2022-01-17,-1541,Expired,Active
Mills Crossing,Owings Mills,Peter Stephenson,243,3BR/2BA,2397.0,2022-01-18,-1540,Expired,Active
Avenue Grand,Baltimore,Tony Price,025,Studio,1497.0,2022-01-20,-1538,Expired,Active
Cedar Ridge Commons,Ellicott City,Michael Norris,081,1BR/1BA,1605.0,2022-01-21,-1537,Expired,Active
Townes at Heritage Hills,Glen Burnie,Carolyn Potts,014,1BR/1BA,1573.0,2022-01-22,-1536,Expired,Active
Cedar Ridge Commons,Ellicott City,Kenneth Short,152,2BR/1BA,1925.0,2022-01-22,-1536,Expired,Active
Townes at Heritage Hills,Glen Burnie,Cynthia Gregory,026,2BR/1BA,1630.0,2022-01-23,-1535,Expired,Active
Cedar Ridge Commons,Ellicott City,Cynthia Thomas,121,1BR/1BA,1678.0,2022-01-23,-1535,Expired,Active
Cedar Ridge Commons,Ellicott City,Jeanne Robinson,175,2BR/1BA,1952.0,2022-01-27,-1531,Expired,Active
Avenue Grand,Baltimore,Kenneth Snyder,021,Studio,1384.0,2022-01-28,-1530,Expired,Active
Avenue Grand,Baltimore,Megan Martin,103,1BR/1BA,1577.0,2022-01-28,-1530,Expired,Active
Riverfront Flats,Frederick,Emily Bailey,186,2BR/2BA,2339.0,2022-01-28,-1530,Expired,Active
Avenue Grand,Baltimore,Anthony Ashley,160,2BR/2BA,2377.0,2022-01-31,-1527,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Adrian Howell,129,2BR/2BA,2077.0,2022-01-31,-1527,Expired,Active
Riverfront Flats,Frederick,Samuel Livingston,071,1BR/1BA,1707.0,2022-02-01,-1526,Expired,Active
Duvall Westside,Laurel,Sharon Barnes,117,2BR/1BA,1932.0,2022-02-03,-1524,Expired,Active
Cedar Ridge Commons,Ellicott City,Michael Johnson,142,2BR/1BA,1883.0,2022-02-03,-1524,Expired,Active
Avenue Grand,Baltimore,Angela Wallace,079,1BR/1BA,1569.0,2022-02-05,-1522,Expired,Active
Mills Crossing,Owings Mills,Eddie Adams,022,1BR/1BA,1638.0,2022-02-08,-1519,Expired,Active
Duvall Westside,Laurel,Jeffrey Colon,165,2BR/2BA,1844.0,2022-02-12,-1515,Expired,Active
Cedar Ridge Commons,Ellicott City,James Mcmillan,137,2BR/1BA,1668.0,2022-02-13,-1514,Expired,Active
Mills Crossing,Owings Mills,Karen Smith,026,1BR/1BA,1533.0,2022-02-17,-1510,Expired,Active
Riverfront Flats,Frederick,Cynthia Morse,204,2BR/2BA,2096.0,2022-02-17,-1510,Expired,Active
Mills Crossing,Owings Mills,Christopher Johnson,226,2BR/2BA,2283.0,2022-02-20,-1507,Expired,Active
Cedar Ridge Commons,Ellicott City,Elizabeth Fernandez,064,1BR/1BA,1705.0,2022-02-21,-1506,Expired,Active
Riverfront Flats,Frederick,Teresa Kerr,113,1BR/1BA,1595.0,2022-02-22,-1505,Expired,Active
Duvall Westside,Laurel,Raymond Quinn,278,3BR/2BA,2263.0,2022-02-27,-1500,Expired,Active
Townes at Heritage Hills,Glen Burnie,Teresa Ramirez,039,2BR/1BA,1684.0,2022-02-27,-1500,Expired,Active
Townes at Heritage Hills,Glen Burnie,Jerry Anderson,133,3BR/2BA,2388.0,2022-02-27,-1500,Expired,Active
Fieldside Grande Ph1,Pikesville,Frank Elliott,004,Studio,1382.0,2022-03-01,-1498,Expired,Active
Mills Crossing,Owings Mills,Nicholas Green,186,2BR/2BA,1864.0,2022-03-02,-1497,Expired,Active
Avenue Grand,Baltimore,Kurt Martinez,127,2BR/1BA,1761.0,2022-03-08,-1491,Expired,Active
Townes at Heritage Hills,Glen Burnie,Vicki Stokes,132,3BR/2BA,2494.0,2022-03-12,-1487,Expired,Active
Fieldside Grande Ph1,Pikesville,Robin Wallace,095,1BR/1BA,1655.0,2022-03-13,-1486,Expired,Active
Overlook at Bulle Rock,Havre de Grace,Annette Simpson,107,2BR/2BA,2287.0,2022-03-14,-1485,Expired,Active
Avenue Grand,Baltimore,Darren Morse,143,2BR/2BA,2227.0,2022-03-18,-1481,Expired,Active
Townes at Heritage Hills,Glen Burnie,Kristina Coffey,124,3BR/2BA,2313.0,2022-03-21,-1478,Expired,Active
Mills Crossing,Owings Mills,Rebecca Bailey,301,3BR/2BA,2463.0,2022-03-22,-1477,Expired,Active
Fieldside Grande Ph1,Pikesville,Drew Werner,272,3BR/2BA,2499.0,2022-03-22,-1477,Expired,Active
Fieldside Grande Ph1,Pikesville,Anthony Moore,193,2BR/2BA,2051.0,2022-03-24,-1475,Expired,Active
Townes at Heritage Hills,Glen Burnie,Robert Gross,167,3BR/2BA,2237.0,2022-03-27,-1472,Expired,Active
Riverfront Flats,Frederick,Corey David,098,1BR/1BA,1688.0,2022-03-27,-1472,Expired,Active
Cedar Ridge Commons,Ellicott City,Vincent Adams,158,2BR/1BA,1900.0,2022-03-30,-1469,Expired,Active
Mills Crossing,Owings Mills,Joseph Campbell,310,3BR/2BA,2833.0,2022-03-31,-1468,Expired,Active
Fieldside Grande Ph1,Pikesville,Katherine Gay,250,2BR/2BA,1922.0,2022-03-31,-1468,Expired,Active
Avenue Grand,Baltimore,Diana Huffman,035,1BR/1BA,1788.0,2022-04-02,-1466,Expired,Active
Riverfront Flats,Frederick,Allison Clark,166,2BR/2BA,2161.0,2022-04-04,-1464,Expired,Active
Fieldside Grande Ph1,Pikesville,Jessica Williams,230,2BR/2BA,2173.0,2022-04-08,-1460,Expired,Active
